School Name,State Name [District] 2022-23,County Name [District] 2022-23,Web Site URL [District] 2022-23,Location Address 1 [District] 2022-23,Location City [District] 2022-23,Location ZIP [District] 2022-23,Phone Number [District] 2022-23,Locale [District] 2022-23,Latitude [District] 2022-23,Longitude [District] 2022-23,LEA Charter Status [District] 2022-23,"Total Students, All Grades (Excludes AE) [District] 2022-23","Total Students, All Grades (Includes AE) [District] 2022-23",Male Students [District] 2022-23,Female Students [District] 2022-23,American Indian/Alaska Native Students [District] 2022-23,Asian or Asian/Pacific Islander Students [District] 2022-23,Hispanic Students [District] 2022-23,Black or African American Students [District] 2022-23,White Students [District] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [District] 2022-23,Two or More Races Students [District] 2022-23,AP Program Offered
MARICOPA UNIFIED SCHOOL DISTRICT (4441),ARIZONA,Pinal County,http://www.musd20.org,44150 W MARICOPA CASA GRANDE H,MARICOPA,85138,5205685100,32-Town: Distant,33.054507,-112.041662,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,8731,8731,4483,4248,402,162,3877,1224,2444,54,568,NO
MARY C O'BRIEN ACCOMMODATION DISTRICT (4435),ARIZONA,Pinal County,http://www.pinalk12.org,3740 N TOLTEC RD,TOLTEC,85131,5204504400,42-Rural: Distant,32.789154,-111.619972,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,206,206,104,102,1,0,139,3,45,4,14,NO
MARYVALE PREPARATORY ACADEMY (90861),ARIZONA,Maricopa County,http://maryvaleprep.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1043,1043,507,536,1,24,883,64,47,1,23,NO
MCCCD ON BEHALF OF PHOENIX COLLEGE PREPARATORY ACA (81174),ARIZONA,Maricopa County,http://www.pcmail.maricopa.edu,2411 W 14TH ST,TEMPE,85281,4807318106,11-City: Large,33.41298,-111.975441,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",243,243,89,154,4,7,195,13,18,1,5,NO
MESA UNIFIED DISTRICT (4235),ARIZONA,Maricopa County,http://www.mpsaz.org/,63 E MAIN ST STE 101,MESA,85201,4804720200,11-City: Large,33.4147,-111.829291,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,58343,58343,29979,28364,2476,626,27121,2800,22656,473,2191,NO
METROPOLITAN ARTS INSTITUTE INC. (5181),ARIZONA,Maricopa County,http://www.metro-arts.org,1700 N 7th Ave,PHOENIX,85007,6022589500,11-City: Large,33.466641,-112.082989,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",250,250,49,201,4,3,109,19,99,1,15,NO
MIDTOWN PRIMARY SCHOOL (79994),ARIZONA,Maricopa County,http://www.midtownprimaryschool.com,3823 N 11TH ST,PHOENIX,85014,6022655133,11-City: Large,33.49204,-112.057711,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",108,108,55,53,3,10,53,18,16,1,7,NO
MILESTONES CHARTER SCHOOL (79207),ARIZONA,Maricopa County,http://www.mc.school,4707 E DESERT CACTUS ST,PHOENIX,85032,6024041009,11-City: Large,33.650574,-111.978762,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",186,186,102,84,0,70,16,14,83,1,2,NO
MOBILE ELEMENTARY DISTRICT (4253),ARIZONA,Maricopa County,http://www.mobileesd.org,42798 S 99TH AVE,MARICOPA,85139,5205682280,42-Rural: Distant,33.056574,-112.270978,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,30,30,19,11,1,0,12,5,12,0,0,NO
MONTESSORI ACADEMY INC. (80011),ARIZONA,Maricopa County,http://www.azma.academy,6050 N INVERGORDON RD,Paradise Valley,85253,4809451121,21-Suburb: Large,33.525414,-111.943851,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",142,142,72,70,2,5,28,2,95,0,10,NO
MONTESSORI DAY PUBLIC SCHOOLS CHARTERED INC. (4359),ARIZONA,Maricopa County,http://mdpsc.org/,9201 N 7TH AVE,PHOENIX,85021,6029437672,11-City: Large,33.56995,-112.082161,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",182,182,98,84,1,2,56,3,114,0,6,NO
MONTESSORI EDUCATION CENTRE CHARTER SCHOOL (4363),ARIZONA,Maricopa County,http://www.montessorictr.org,2834 E SOUTHERN AVE,MESA,85204,4809268375,11-City: Large,33.393979,-111.769652,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",457,457,227,230,3,2,118,11,286,6,31,NO
MORRISON EDUCATION GROUP INC. (90192),ARIZONA,Maricopa County,http://sunvalleyacademy.org,2675 W BASELINE RD,PHOENIX,85041,6026924914,11-City: Large,33.37686,-112.115528,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",575,575,309,266,4,12,307,181,34,6,31,NO
MORRISTOWN ELEMENTARY DISTRICT (4251),ARIZONA,Maricopa County,http://www.morristowneld75.org,25950 Rockaway Hills Dr,Morristown,85342,6235465100,42-Rural: Distant,33.8556,-112.6211,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,147,147,73,74,0,1,44,1,95,0,6,NO
MURPHY ELEMENTARY DISTRICT (4265),ARIZONA,Maricopa County,http://www.msdaz.org,3140 W BUCKEYE RD,PHOENIX,85009,6023535002,11-City: Large,33.43733,-112.128063,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,1229,1229,635,594,13,1,1095,88,27,1,4,NO
NADABURG UNIFIED SCHOOL DISTRICT (4252),ARIZONA,Maricopa County,http://www.nadaburgsd.org,32919 N CENTER ST,WITTMANN,85361,6233882100,42-Rural: Distant,33.781271,-112.525561,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,1224,1224,617,607,11,4,505,30,650,4,20,NO
NEW SCHOOL FOR THE ARTS (4316),ARIZONA,Maricopa County,http://www.aznsa.com/,1216 E APACHE BLVD,TEMPE,85281,4802525414,12-City: Mid-size,33.415291,-111.919221,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",203,203,62,141,7,3,47,8,122,1,15,NO
NEW WORLD EDUCATIONAL CENTER (78882),ARIZONA,Maricopa County,http://www.nweccharter.com,5818 N 7TH ST,PHOENIX,85014,6022389577,11-City: Large,33.522634,-112.065791,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",176,176,89,87,4,0,154,10,6,0,2,NO
NOAH WEBSTER SCHOOLS - MESA (10760),ARIZONA,Maricopa County,http://www.noahwebster.org,7301 E BASELINE RD,MESA,85209,4809862335,11-City: Large,33.378883,-111.674534,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",575,575,266,309,11,10,210,19,294,3,28,NO
NOAH WEBSTER SCHOOLS-PIMA (92374),ARIZONA,Maricopa County,http://noahwebster.org,7301 E BASELINE RD,MESA,85209,4802916900,21-Suburb: Large,33.515842,-111.890692,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",295,295,138,157,126,3,101,8,35,1,21,NO
NORTH PHOENIX PREPARATORY ACADEMY (90879),ARIZONA,Maricopa County,http://northphoenixprep.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",522,522,235,287,3,61,116,16,296,1,29,NO
OMBUDSMAN EDUCATIONAL SERVICES LTD.A SUBSIDIARY (4323),ARIZONA,Maricopa County,http://az.ombudsman.com/about-ombudsman-arizona-charter/,3624 West Bell Road Suite 4-6,Glendale,85308,6028402997,11-City: Large,33.640426,-112.136724,Charter district which is not an LEA for any federal program,1413,1413,729,684,237,3,792,129,236,10,6,NO
ORACLE ELEMENTARY DISTRICT (4444),ARIZONA,Pinal County,http://www.osd2.org,725 N CARPENTER DR,ORACLE,85623,5208963071,42-Rural: Distant,32.6079,-110.7607,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,399,399,196,203,1,0,238,7,148,0,5,NO
OSBORN ELEMENTARY DISTRICT (4262),ARIZONA,Maricopa County,http://www.osbornnet.org/,1226 W OSBORN RD,PHOENIX,85013,6027072000,11-City: Large,33.488082,-112.088506,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,2538,2538,1282,1256,136,54,1581,355,296,4,112,NO
P.L.C. CHARTER SCHOOLS (6235),ARIZONA,Maricopa County,http://www.plcaaem.org,2504 S 91ST AVE,TOLLESON,85353,6234742120,11-City: Large,33.423956,-112.257333,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",875,875,387,488,2,7,711,100,33,3,19,NO
PALO VERDE ELEMENTARY DISTRICT (4275),ARIZONA,Maricopa County,http://www.pvesd.org,10700 S Palo Verde Rd,Palo Verde,85343,6233273690,42-Rural: Distant,33.34977,-112.678254,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,446,446,235,211,4,1,303,8,125,0,5,NO
PALOMA SCHOOL DISTRICT (4255),ARIZONA,Maricopa County,http://www.palomaesd.org,38739 W I 8,Gila Bend,85337,9286832588,43-Rural: Remote,32.92018,-112.890821,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,112,112,61,51,7,0,97,4,4,0,0,NO
PARADISE VALLEY UNIFIED DISTRICT (4241),ARIZONA,Maricopa County,http://www.pvschools.net/,15002 N 32ND ST,PHOENIX,85032,6024492000,11-City: Large,33.623607,-112.014406,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,27919,27919,14406,13513,340,1097,9364,1135,14502,73,1408,NO
PARAGON MANAGEMENT INC. (5180),ARIZONA,Maricopa County,http://www.paradiseschools.org,12775 N 175TH AVE,SURPRISE,85388,6234557400,21-Suburb: Large,33.599874,-112.434419,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",2794,2794,1406,1388,17,62,657,126,1741,12,179,YES
PAS CHARTER INC. DBA INTELLI-SCHOOL (79953),ARIZONA,Maricopa County,http://www.intellischool.org,2222 W NORTHERN AVE STE A110,PHOENIX,85021,6025647300,11-City: Large,33.553719,-112.107124,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",115,115,65,50,5,5,47,4,53,0,1,NO
PATHFINDER CHARTER SCHOOL FOUNDATION (79024),ARIZONA,Maricopa County,http://cortezpark.org,18052 N BLACK CANYON HWY,PHOENIX,85053,6025899840,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",472,472,230,242,5,129,241,56,25,0,16,NO
PATHWAYS IN EDUCATION-ARIZONA INC. (92983),ARIZONA,Maricopa County,http://az.pathwaysineducation.org/,2226 N.7th Street,PHOENIX,85006,6026267057,11-City: Large,33.472252,-112.065508,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",153,153,68,85,11,1,114,10,14,0,3,NO
PENDERGAST ELEMENTARY DISTRICT (4283),ARIZONA,Maricopa County,http://www.pesd92.org,3802 N 91ST AVE,PHOENIX,85037,6237722200,11-City: Large,33.490548,-112.255485,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,8266,8266,4308,3958,131,165,6220,678,800,10,262,NO
PENSAR ACADEMY (92972),ARIZONA,Maricopa County,http://www.pensaracademy.org/,6135 N BLACK CANYON HWY,PHOENIX,85015,6023834013,11-City: Large,33.526848,-112.111598,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",205,205,97,108,7,4,146,19,29,0,0,NO
PEORIA UNIFIED SCHOOL DISTRICT (4237),ARIZONA,Maricopa County,http://www.peoriaunified.org,6330 W THUNDERBIRD RD,GLENDALE,85306,6234866000,21-Suburb: Large,33.61161,-112.195131,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,36527,36527,18713,17814,351,1127,13694,1917,17513,109,1816,NO
PHOENIX ELEMENTARY DISTRICT (4256),ARIZONA,Maricopa County,http://phxschools.org/,1817 N 7TH ST,PHOENIX,85006,6022573755,11-City: Large,33.46879,-112.063941,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,5249,5249,2693,2556,129,37,4079,534,328,7,135,NO
PHOENIX SCHOOL OF ACADEMIC EXCELLENCE THE (6379),ARIZONA,Maricopa County,http://www.phoenixschoolofacademicexcellence.com,5312 N 12TH ST STE 302,PHOENIX,85014,6022417876,11-City: Large,33.51583,-112.055421,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",102,102,55,47,10,0,81,3,7,0,1,NO
PHOENIX UNION HIGH SCHOOL DISTRICT (4286),ARIZONA,Maricopa County,http://www.phoenixunion.org/,4502 N CENTRAL AVE,PHOENIX,85012,6027640860,11-City: Large,33.502319,-112.074283,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,27900,27900,14322,13578,634,357,22687,2628,1108,72,414,NO
PICACHO ELEMENTARY DISTRICT (4452),ARIZONA,Pinal County,http://www.picacho.k12.az.us/home.html,17865 S VAIL RD,PICACHO,85141,5204667942,42-Rural: Distant,32.717425,-111.497553,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,165,165,81,84,7,0,131,6,21,0,0,NO
PINNACLE EDUCATION-CASA GRANDE INC. (81011),ARIZONA,Pinal County,http://www.pinnaclecharterschools.com/,2510 N TREKELL RD,CASA GRANDE,85122,5204232380,13-City: Small,32.927541,-111.73864,Charter district which is not an LEA for any federal program,42,42,24,18,0,0,29,1,11,0,1,NO
PINNACLE EDUCATION-TEMPE INC. (81001),ARIZONA,Maricopa County,http://www.pin-ed.com/,2224 W SOUTHERN AVE STE 2,TEMPE,85282,6024140950,12-City: Mid-size,33.3932,-111.9719,Charter district which is not an LEA for any federal program,242,242,114,128,6,1,199,19,10,1,6,NO
PINNACLE EDUCATION-WMCB INC. (79439),ARIZONA,Maricopa County,http://www.pinnaclecharterschools.com/,1712 E GUADALUPE RD STE 101,TEMPE,85283,4807558222,12-City: Mid-size,33.36444,-111.913214,Charter district which is not an LEA for any federal program,59,59,32,27,1,0,55,1,2,0,0,NO
PIONEER PREPARATORY SCHOOL (90140),ARIZONA,Maricopa County,http://pioneer.cfacademy.school/,6510 W CLARENDON AVE,PHOENIX,85033,6239333733,11-City: Large,33.49183,-112.200211,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",399,399,196,203,2,0,377,13,4,1,2,NO
POINTE SCHOOLS (79455),ARIZONA,Maricopa County,http://www.pointeschools.org,10215 N 43RD AVE,PHOENIX,85051,6028432014,11-City: Large,33.578947,-112.151106,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",645,645,326,319,9,21,301,36,236,0,42,NO
PORTABLE PRACTICAL EDUCATIONAL PREPARATION INC. ( (87405),ARIZONA,Maricopa County,http://www.azva.org/,99 E VIRGINIA AVE STE 200,PHOENIX,85004,6024761320,11-City: Large,33.476391,-112.071066,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",6225,6225,3047,3178,194,97,2482,609,2333,18,492,NO
PREMIER CHARTER HIGH SCHOOL (79569),ARIZONA,Maricopa County,http://www.premierhighschool.com,7544 W INDIAN SCHOOL RD STE A2,PHOENIX,85033,6232451500,11-City: Large,33.495643,-112.222196,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",153,153,73,80,1,0,136,8,2,0,6,NO
QUEEN CREEK UNIFIED DISTRICT (4245),ARIZONA,Maricopa County,http://www.qcusd.org,20217 E CHANDLER HEIGHTS RD,QUEEN CREEK,85142,4809875935,21-Suburb: Large,33.233678,-111.646963,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,13818,13818,6967,6851,82,271,3281,408,9031,56,689,NO
RAY UNIFIED DISTRICT (4438),ARIZONA,Pinal County,http://www.rayusd.org,Hwy 177,Kearny,85137,5203635515,43-Rural: Remote,33.06486,-110.912203,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,373,373,184,189,3,6,193,4,164,0,3,NO
RED ROCK ELEMENTARY DISTRICT (4447),ARIZONA,Pinal County,http://www.redrockschools.com,20854 East Homestead Drive,Red Rock,85145,5206823331,42-Rural: Distant,32.5689,-111.3453,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,445,445,223,222,3,5,158,23,231,9,16,NO
REID TRADITIONAL SCHOOLS' PAINTED ROCK ACADEMY INC (91317),ARIZONA,Maricopa County,http://paintedrockacademy.com,14841 N BLACK CANYON HWY,PHOENIX,85023,6234668855,11-City: Large,33.6207,-112.115121,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",471,471,233,238,0,99,123,32,189,2,26,NO
REID TRADITIONAL SCHOOLS' VALLEY ACADEMY INC. (4306),ARIZONA,Maricopa County,http://ValleyAcademy.com,14841 N BLACK CANYON HWY,PHOENIX,85023,6234782344,11-City: Large,33.6207,-112.115121,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",685,685,351,334,0,416,55,9,188,0,17,NO
RIDGELINE ACADEMY INC. (4301),ARIZONA,Maricopa County,http://www.ridgelineacademy.org,33625 N NORTH VALLEY PKWY,PHOENIX,85085,6232231335,11-City: Large,33.790133,-112.120925,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1022,1022,533,489,3,21,168,31,740,3,56,NO
RIVERSIDE ELEMENTARY DISTRICT (4257),ARIZONA,Maricopa County,http://www.resdonline.org,1414 S 51st Ave,PHOENIX,85043,6024778900,11-City: Large,33.434192,-112.169713,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,822,822,431,391,28,8,586,137,49,0,14,NO
ROOSEVELT ELEMENTARY DISTRICT (4279),ARIZONA,Maricopa County,http://www.rsd66.org,6000 S 7TH ST,PHOENIX,85042,6022434800,11-City: Large,33.391668,-112.065563,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,7214,7214,3724,3490,117,54,5823,875,219,16,110,NO
ROOSEVELT PREPARATORY ACADEMY (92704),ARIZONA,Maricopa County,http://roosevelt.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,22-Suburb: Mid-size,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",640,640,296,344,2,9,306,33,246,1,43,NO
ROSEFIELD CHARTER ELEMENTARY SCHOOL INC. (87399),ARIZONA,Maricopa County,http://www.imaginerosefield.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6233444300,21-Suburb: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",508,508,272,236,0,9,144,29,275,1,50,NO
SACATON ELEMENTARY DISTRICT (4449),ARIZONA,Pinal County,http://www.sacatonschools.org,92 Skill Center Rd,Sacaton,85147,5205628600,42-Rural: Distant,33.081692,-111.761762,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,447,447,224,223,368,1,73,0,0,0,5,NO
SADDLE MOUNTAIN UNIFIED SCHOOL DISTRICT (4254),ARIZONA,Maricopa County,http://smusd90.org,38201 W INDIAN SCHOOL RD,TONOPAH,85354,6234745115,42-Rural: Distant,33.492036,-112.87243,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,3146,3146,1667,1479,42,9,1911,156,949,9,70,NO
SAGE ACADEMY INC. (89414),ARIZONA,Maricopa County,http://www.sage-academy.org/,1055 E HEARN RD,PHOENIX,85022,6024853402,11-City: Large,33.578929,-112.115138,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",114,114,53,61,0,1,38,24,41,2,8,NO
SALT RIVER PIMA-MARICOPA COMMUNITY SCHOOLS (4320),ARIZONA,Maricopa County,http://saltriverschools.org,4827 N COUNTRY CLUB DR,SCOTTSDALE,85256,4803622500,41-Rural: Fringe,33.507868,-111.832459,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",73,73,45,28,63,0,10,0,0,0,0,NO
SAN TAN MONTESSORI SCHOOL INC. (89798),ARIZONA,Maricopa County,http://santancharterschool.com,3959 E ELLIOT RD,GILBERT,85234,4802220811,21-Suburb: Large,33.349425,-111.705001,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",867,867,464,403,7,23,231,29,526,3,48,YES
SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT (4454),ARIZONA,Pinal County,http://www.scvuhs.org,900 N MAIN ST,ELOY,85131,5204662220,31-Town: Fringe,32.75915,-111.557231,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,360,360,186,174,8,1,274,28,40,1,8,NO
SC JENSEN CORPORATION INC. DBA INTELLI-SCHOOL (79951),ARIZONA,Maricopa County,http://www.intellischool.org,2222 W NORTHERN AVE STE A110,PHOENIX,85021,6025647380,11-City: Large,33.553719,-112.107124,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",53,53,25,28,0,0,39,3,9,0,2,NO
SCHOLARS ACADEMY SUNNYSLOPE (1000377),ARIZONA,Maricopa County,http://scholarsphoenix.com,1055 E HEARN RD,PHOENIX,85022,6026016464,11-City: Large,33.614519,-112.059704,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",203,203,105,98,10,1,111,43,37,0,1,NO
SCOTTSDALE COUNTRY DAY SCHOOL (91110),ARIZONA,Maricopa County,http://www.scdsaz.com/,10460 N 56TH ST,SCOTTSDALE,85253,4804525777,11-City: Large,33.5817,-111.9612,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",109,109,54,55,0,0,16,3,84,4,2,NO
SCOTTSDALE PREPARATORY ACADEMY (89756),ARIZONA,Maricopa County,http://scottsdaleprep.greatheartsamerica.org/,16537 N 92ND ST,SCOTTSDALE,85260,6024387045,12-City: Mid-size,33.634365,-111.881805,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",875,875,421,454,1,136,94,5,596,1,42,NO
SCOTTSDALE UNIFIED DISTRICT (4240),ARIZONA,Maricopa County,http://www.susd.org,7575 E MAIN ST,SCOTTSDALE,85251,4804846100,12-City: Mid-size,33.49282,-111.918581,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,21177,21177,10737,10440,488,1114,4975,848,13031,50,671,NO
SELF DEVELOPMENT CHARTER SCHOOL (79072),ARIZONA,Maricopa County,http://www.selfdevelopmentcharterschool.com,1709 N GREENFIELD RD,MESA,85205,4806412640,11-City: Large,33.44658,-111.734991,Charter district which is not an LEA for any federal program,429,429,205,224,3,45,107,38,197,1,38,NO
SKYLINE GILA RIVER SCHOOLS LLC (90329),ARIZONA,Maricopa County,http://www.skylinegilariver.com/,978 N Preschool Rd.,Bapchule,85121,8772252118,42-Rural: Distant,33.217713,-111.83828,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",236,236,113,123,220,0,9,2,2,0,3,NO
SKYLINE SCHOOLS INC. (79084),ARIZONA,Maricopa County,http://www.skylineprephighschool.com/,2020 N Arizona Ave STE 109,CHANDLER,85225,4807792010,11-City: Large,33.337025,-111.843837,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",200,200,117,83,9,2,80,81,18,0,10,NO
SOUTH PHOENIX ACADEMY INC. (91108),ARIZONA,Maricopa County,http://www.southphoenixacademy.com/,7450 S 40TH ST,PHOENIX,85042,8772252118,11-City: Large,33.379666,-111.997217,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",323,323,156,167,7,2,152,121,17,5,19,NO
SOUTH VALLEY ACADEMY INC. (90540),ARIZONA,Maricopa County,http://southvalleyacademy.com/,7450 S 40TH ST,PHOENIX,85042,8772552118,11-City: Large,33.379666,-111.997217,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",212,212,105,107,5,4,97,80,19,1,6,NO
SOUTHWEST LEADERSHIP ACADEMY (92043),ARIZONA,Maricopa County,http://www.southwestleadershipacademy.com,4301 W FILLMORE ST,PHOENIX,85043,6022652000,11-City: Large,33.45289,-112.152651,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",200,200,93,107,5,0,170,21,4,0,0,NO
STANFIELD ELEMENTARY DISTRICT (4451),ARIZONA,Pinal County,http://www.roadrunners24.net,515 S STANFIELD RD,STANFIELD,85172,5204240221,42-Rural: Distant,32.875382,-111.9633,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,403,403,214,189,57,3,276,3,62,0,2,NO
STEP UP SCHOOLS INC. (4313),ARIZONA,Maricopa County,http://www.stepupschoolsmesa.org,44 E 5TH ST,MESA,85201,4803442600,11-City: Large,33.424138,-111.830049,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",63,63,34,29,0,0,47,9,5,0,2,NO
STEPPING STONES ACADEMY (10966),ARIZONA,Maricopa County,http://www.steppingstonesacademy.org,35812 N 7TH ST,PHOENIX,85086,6234654910,21-Suburb: Large,33.809572,-112.066225,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",217,217,108,109,1,0,34,1,177,0,4,NO
SUCCESS SCHOOL (79453),ARIZONA,Maricopa County,http://www.azcharter.com,16011 N DYSART RD,SURPRISE,85374,6239744959,21-Suburb: Large,33.629724,-112.341472,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",982,982,496,486,0,7,667,92,167,2,47,NO
SUPERIOR UNIFIED SCHOOL DISTRICT (4440),ARIZONA,Pinal County,http://www.superiorusd.org,1500 W PANTHER DR STE 101,SUPERIOR,85173,5206893000,32-Town: Distant,33.27869,-111.111254,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,335,335,177,158,1,0,269,6,59,0,0,NO
TEMPE PREPARATORY ACADEMY (4361),ARIZONA,Maricopa County,http://tempeprep.org/,1251 E SOUTHERN AVE,TEMPE,85282,4808393402,12-City: Mid-size,33.392618,-111.918573,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",443,443,208,235,5,31,123,7,237,2,38,NO
TEMPE SCHOOL DISTRICT (4258),ARIZONA,Maricopa County,http://www.tempeschools.org/,3205 S RURAL RD,TEMPE,85282,4807307100,12-City: Mid-size,33.394695,-111.925309,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,10759,10759,5461,5298,771,224,5569,1402,2080,182,531,NO
TEMPE UNION HIGH SCHOOL DISTRICT (4287),ARIZONA,Maricopa County,http://www.tempeunion.org,500 W GUADALUPE RD,TEMPE,85283,4808390292,12-City: Mid-size,33.364215,-111.950294,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,12664,12664,6303,6361,550,530,5189,1433,4137,107,718,NO
THE BOYS & GIRLS CLUBS OF THE VALLEY (4305),ARIZONA,Maricopa County,http://www.mesaartsacademy.org/,221 W 6TH AVE,MESA,85210,4808443965,11-City: Large,33.403803,-111.836464,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",218,218,110,108,0,0,152,26,29,0,11,NO
THE CHARTER FOUNDATION INC. (6355),ARIZONA,Maricopa County,http://www.amerischools.org,5383 E ROCKRIDGE RD,PHOENIX,85018,5202961100,11-City: Large,33.50616,-111.964911,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",627,627,309,318,19,13,422,44,107,1,21,NO
THE GRANDE INNOVATION ACADEMY (92978),ARIZONA,Pinal County,http://grandeinnovationacademy.com/,950 N PEART RD,CASA GRANDE,85122,5203812360,13-City: Small,32.882886,-111.720753,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",829,829,398,431,8,5,523,27,225,4,37,NO
THE ODYSSEY PREPARATORY ACADEMY INC. (90287),ARIZONA,Maricopa County,http://www.odyprep.com,1495 S VERRADO WAY,BUCKEYE,85326,6233271757,41-Rural: Fringe,33.433642,-112.502515,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",3437,3437,1682,1755,21,43,1615,188,1364,19,187,YES
THE PAIDEIA ACADEMIES INC (91250),ARIZONA,Maricopa County,http://www.paideiaacademies.com,7777 S 15TH TER,PHOENIX,85042,6023433040,11-City: Large,33.376066,-112.048294,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",821,821,394,427,7,11,598,137,56,5,7,NO
